Address,Amount Deposited
0x6DeD5ac476762a9f7927414A7c57015c7D979050,133.0385
0xA03DEE508d09Ba9401a661F154036B36328e0F0C,132.6921
0x6650a2588C5E38bD40939c310bF775469d2C5198,130.8392
0xB11A0Ce3A6EA30D8aA906E0f84eB92be8aF5aFcb,128.3126
0x4cb1a8Bb524Ec318AAad1c63cA51b2189Df00560,128.1439
0xEE5dB12Dc8424EA96C95794F2C9D7E7724f26FF7,124.9618
0x28cF547faBfc35ab3a39b92AC1dD351Fe85177e9,124.1941
0x89Be078D45ABaD1235a27d62435D36965b5Bf2B7,122.6397
0x8AeF0Ef8D94B50dfe6E499357eCB621acC993cf7,122.5914
0x26DF6ed56e984aeeb44EDe17B613A7E16b578d6b,122.4696
0xe10Dcd584870f61Cb54c39Ac43d969C8ddA9d2a5,122.3342
0xE9303D08D0F75C72e6E74D3D30547a0DFE78F557,122.3322
0xC40840c933307965328fb32AFf6a94853f5253a7,119.9921
0x63E1FB4493abDA92966A43824018b984EaFF9093,117.7788
0xD439fcFF83fE048Fb37f0B4d84C4c83F01D3c447,117.0998
0x197bb67773A1aDb0E3d19D9150BFA1E490bA581c,117.0348
0xE20017347df47c2d43d7E9dc435003B9440E04fF,113.3502
0x7d8afffF538dE41a5E8eaBb89e43AD52b4a0291d,110.3845
0xa7FE07b67e798F827f54254CA82E63d56064627E,110.2386
0xBb03C204988Bb576aB438Aa7FA74f6160FFc1A30,110.2354
0x43337a56dfCe162259b602201C3dB3d106E26e94,110.2319
0xB2DcC3de3853d19A8a8444783a3027B670721697,110.2133
0xD1FC7621BA601a4032fdc2e9c961B6028632Bb86,109.5738
0x08E62f3854aD0F458e2651499E4d11573E6B8e54,109.3393
0x3D224d746780E7570dC932ea736413AbFDcd3A70,108.33
0xf849650EF47F86F6b6CBbaA1e16471Da2963B04b,108.3048
0x4B95093Afa655Af6d24299901eF1bB6D5FDad944,107.7572
0x56632dCb40E4ca09B048b3D703187ca586eb2100,107.724
0x07D06cA1acc27FE24C7cffc9E0182fBbEfcC1826,106.4009
0xB811Ad5C016c37d9f40dffA8fc360F9B3fFC0d2A,104.9953
0xbAF50FDc0cf86DDE13785D39fb2F2E076D6D4767,103.2721
0x601091af1314491f4E3088f8f0FfF80D31Fb0E1e,101.868
0x8C69f8D2F360d0bd12cB73b92E90a380e32987BB,101.857
0xF5A1aafc2afAd5A27FF25339e7cBa1Dca05b73b9,101.8064
0x5Ae899713D0A696F85B43bd90473b5268F0c1B30,101.5386
0xb0dB0A18Ba8309b66AA54eA5bb55f4f457CA3Ea8,101.4029
0x3638c0c66B7A7C119ECf249c4cFa135ACDe16a5B,100.8116
0x92Ea428EFEFCFEDa6BaB9b8E79edA79e20cb34E6,100.7862
0xA5545AD0C00E800cdf9Eb8225C43be59c0B074d0,100.7789
0x0a113F70D465c59F43A6076be60B2C077c7182F7,100.7716
0xf3110237ceeb73d09ca029C96A751c1B48395145,100.7644
0x1e2357c9982901b67D2486E346AAbEf117A86772,100.7573
0xC4060cC90A846be22fDBCA477B3f251B61e6CE2B,100.7502
0x693928182F14C428628Dfd151D3018e767A21Cb6,100.7431
0x6871f7D6509E74120E147172E392675dD6f76291,100.584
0x611dCd191690a60A4ed50021505882762c316Bc0,100.2654
0xB3b085AbA9ca1672D6747a236443AD4a95Dd97Ed,100.1791
0x626A843E7214E85047b356DF0bF8600A60b52030,100.1761
0x30C21d781A6F778dF51feafE342F9Cc12A926734,100.1616
0xCB429ab8e5aa61D877a5DCEe7756e00A3bbC3ce3,99.96195
0x3ac022aAcB9d08E2ba3e0ac90644c6A98FE89D94,99.95992
0x38c3bE8c5b4779B27184a4E625fdFF95992bC971,99.92909
0xea892E9C9D8a6003a5b3cF6777e2131c1e81DFF1,99.91697
0x1546c6d0AC91BDeD1368ea4CB76a8dDc9BD60362,99.91651
0x0b5D9971D4FDF20CA1ccceDf8D5802F1EDf39FB2,99.91607
0x98692511891011682a7802F6cc9c686189050aC6,99.91562
0x90EcA4b2d94a14F65644A7C6b0B054a311E25C7d,99.91519
0xf9549Fbbb4fD59031740A3dd0D69EaD1b6d90f73,99.89823
0x2f2BfECda07c111D102c856C677ea0D2B241BD44,99.89801
0xb0b7E58aC592b3805F94393C13eA5764491eF1D1,99.89779
0xE8ce90077F5ECa9217A33e71c7D7f1331ADfD165,99.89758
0x511E3C0BB2DBb5655FC3aACf69B9176e0767Dd71,99.89736
0xF93676A30c996d905992Ea75B79AE251A7d1458f,99.89648
0xBa93b1b1047CD61077890f0Aa714e5B1cE4608a3,99.89622
0x3f7F9296b44C905Ed5fbc0e648E07e05D5450683,99.89544
0x194BDC6ECdf4aA6e8A6DC6Ac3F1E3C7e84f2540C,99.89489
0xe98b99317a4bd47a68665F54Caf1Ac1d82CE585D,99.88273
0x0948379167c6A587c5F2a043DB277b197f9d4F8c,99.66232
0x8E1821dd7b846e90aa632582cb6742946f5B7285,99.66132
0x01A7E44c9C8495F1fdac72298a3c0ebAc9f58A55,99.66032
0x8A20A065b2f2541e3e16F2dcb58211AFDFB998A6,99.65668
0xb2aCfb5D8Ad0C4dF0F7BeF13758305eD73Afae4D,99.65545
0xDcE00637C4db93E4F0e47D9dedEAd7491264423B,99.6544
0x3b35690f4BdB3e99FEB9Eebbd6DF5486550E176f,99.61263
0x5862BF80277aBee3400fF94bBCE2768D19BC0980,99.36584
0xfaA4c4A4128BD46eE55Cb5d81664f08471c7FF78,99.19981
0x2D70ce11f4C3f6951e45092995FA39aA4af35052,99.19899
0x601380cdBB75B38F9d9f054Bb7Db404bad056887,98.4115
0x1e81eED69C5357713084C96D88c1C4c413De6e7e,97.62359
0xB023D464f60004438Fb4A31014314fEBfEBF98E4,96.10389
0xF746e5C35D233b68e17769485c2fD31A97922c6B,95.97361
0x5151e882574435a7DDB7aE247625ACF0815761e5,95.72102
0x8C405C58Bc10ab8b8812F29f21eAf91108b58D68,93.07645
0x3208590A78a7D3Af09338d1f23a668cAA29f05C7,90.10553
0x2c3EF9c716221A8d03Aa39604410cB05C9ee82BA,89.26289
0x75A4AeE53aC7f7B06cdABa827Da364048F3AB249,83.68213
0x5391bFa3ebf1907C5eBb941a74b6690780cf93fC,80.01536
0x9E1c73223A9656cFc04CEAcbd6555C0f92C625A7,79.95726
0x7e027ec336524733223832977925478cc32d9aB3,74.28372
0x7118DBaDAcA4c7E8bBE01C8E9605772cA3Ef3dAe,73.85204
0x6c9bC15d87183Ee7c468cB73AACFdF4290eF3F7E,69.39312
0x236eA68c2d3734649b44EF186419Badeb6774183,69.34364
0x31bb630DF8DcB89be4511F9673450e606B886322,64.99076
0xc1f1095fb4410eebA410C375ef7b4593a5089f27,58.63917
0x4Df83d2B0dddA891Da112ACb73792A1Cfc06EF31,58.38847
0x909Fd983ab19BDB39d36B7d245D4E94a6E41b70A,57.49522
0xE99f3CA693c9E96B01F4158E252A3041b4d74A59,55.98546
0x9b72C825C0b6e610029912390342aA01F6a4Db91,53.44009
0x2F281B1EDdE5E364313eC82ED2eB4b7679494a25,53.37324
0xe1E8677b44772aA17FDA8092Be9dF129C6a75a1f,53.05943
0xD4aE49c938e6bD4247a1081494ea8293190A2E85,52.10949
0x012430f934BC381d9F59a28EA34363bCE170353D,51.72283
0xFe6013250C6D2e3b4203491298c4AB40A40E773d,50.74946
0xE7573D7115f42cD53B3e8905493c3B50f26F84d4,50.7014
0x23117159673bD45F6ed850eb9Ec2335055DF70Cf,50
0x118B86405449904DF409Abd71668474D4f6e7A1e,49.98754
0xa96c35B7C13a33F316b2284897910ee99751E9c8,48.2495
0xfc0572C09F808d03B700Ed2eb41ACceD9f3ceDE5,48.22288
0x4b2F13B566E5B9A4c5229b1E3f6058858853a857,48.17025
0xf8A9Ec4d9223b420AAb0B7de3f2dDeFF16fF9b6d,47.98148
0xe2646f96A4BC43DA01e554352Eba09AF954a7EC6,47.92185
0xFf71729ad1cB79Fc30000A04b84fcA27C6cb0E84,47.65977
0x44C7F6c662ad017a7f56CBC4fE75DB9D753bDC7B,47.64198
0x63C0A620718aa2d1d2DBB192b35037E5977ca307,46.74045
0x487b0C67922a4a5bCbf2EC77b752951402cBB6AF,46.70184
0x34Cae1F717e4a5A485DbeD00c43Af14Fd6b46413,46.62099
0xB76aC0804C2beaC2081c66e77c89C0Df5503C035,46.42955
0x20Ce4e71F9D269a60f8945615d94312503549a7d,45.70372
0x15B7D2c57190D9fF71244a38Df129616323f3F25,45.63584
0x147fff064529012B70427D944a4a19C90398a64d,44.75286
0x3f3c5E7114a142a02aA3f15C8F3BAF38de5258bB,44.65621
0x6D8C27D964EcCb317b435D7895E0A89318EaEa96,44.44429
0xBF765A59f2F5C56903028a29D4EB6Cc47afe603F,44.22218
0x08b99223d27E5895645491b25F87AD592AF5e21F,43.75411
0x3F13AE1386A816af70763488d39D10818D2131aD,43.66692
0x4Eb8f33d35D85cE5653707434bf35AAeDf8f501F,43.45733
0xA7AB8d44b3561fF1a5eF70DC4026493C5aE018B2,42.66746
0xE113760F3FceAad5Ea3B5ac3Fd095D67af616c72,42.01447
0x02d734d10bB977ffC1e61A1475E75C00a149212f,41.73132
0x6F5258D9298c365155974b7a3617890Fb57E5852,40.39854
