Address,Amount Deposited
0x84997F863b2f9178878B722Fb85EBB2172160eD8,19.8302
0x07e9A1d67b7435F1498037b0133Cd610752B14D1,19.82874
0xF25790B446824704826f928AF1F3Be86b986eDBF,19.74406
0x83c3fd502e8D284f71ebdc5cc0514D640D71894C,19.74365
0xa191217779B628C4Ba879BEe7cdcB4a8E0B98d25,18.95
0xDA2DD512c80b7505aAAd74716346a021e84a744b,18.91266
0xdEf293cE1601F1DFf66002BA83c1D01D9BDDB156,18.45036
0xC15daa57A0EC918a914a15893101A246C5E3A5C0,18.17631
0x19957b77C5cB6EFF62D25FA20713Ccb6619A05e5,16.28836
0x424642240cd7957A3bd29014AB9fa2f781876e1b,15.19596
0xA6DE2e9B80eF5235Ce2240c2C2dE123e9cdd31b7,14.68962
0xDB5DeB515fD1c41243BDC20125474a138528A8a0,13.93815
0x3b54b824ccFe122397C44d99f2Df5B5adB39A919,13.88581
0xa4C8E2d6Af9dE44D568F7C72e9457Bf1B94A1A68,13.71576
0x4C9D6e0d85752e51A5D453F35bC73A23eeb82f27,11.64217
0x94B287187C9F1A7Bc4865B1Fd90A42b0f1626B43,11.62915
0x7445711598777efb4582E4c60411C17dF16a325A,11.56621
0x97dBc0816a6CBD8CaadE38a5cd46143Bc6A3a414,11.49175
0xE9FE7b890042fFC720a1D10599c33d2AC4CdD1C6,11.43544
0xB547A0149f59225EF8832c655Af0E129D3a256da,11.38228
0x0bFcC2e100e657Bd7738F214Eb6Fc1d35dbDeb64,11.35869
0x364cE7a61997f7453D3a696D419445e2B1e5Df3b,11.34881
0x38aEa2798b561BC9aED30F28267AD57926d11E39,11.31895
0x280F6Fc64BEc9BDa3c8F854ffd0C9833D68e44E4,11.09302
0xeA055Ce37f4964b736AA378f2a1a8BC02159fC73,10.94499
0xc0e1E00E23c1528A38f79cF349d23223FAE3Ef8b,10.89893
0x4042D6f40b802D6Fa5CeD95896Ee768dD5a2AeE8,10.86359
0xed77a25ad26c5A5465101405BA5e1FAA9B4B2AB1,10.6993
0x73157fe65D309c614Bb17941587Cc9DE8057D9D8,10.18119
0xbaf6EDBd144CF6c05E699550493Ee41C2BAdeA90,9.986627
0x7940584fc34A0f6A2536C0dfdeD48572c63Af92D,9.982182
0xd4b893fe4a7A8F4C36D4ba9C4554a02Aa82e7A96,9.952842
0xC0aD109D8E23402133082f5b6350A4AaE92a731A,9.925219
0x3B3031333a17CD24d25528cc9d35900411D61Ef9,9.915895
0xdE654740ec9d0AD6D9fC85EBf813A77A7A7719B5,9.914339
0x059F825206540feE5b529091c594a8809B0cF218,9.881863
0xaD1793178CE48BCFa08087bB00c1524694f2bF28,9.683968
